id,biz_name,biz_info,cat_primary,cat_sub,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,biz_phone,biz_phone_ext,biz_fax,biz_email,web_url,web_meta_title,web_meta_desc,web_meta_keys
1,"Harding's Towing II",,Towing,"Auto Towing Equipment","90 Centre Dr",Rochester,NY,14623,14623-2302,USA,Monroe,585,36055,6840,,EST,Y,43.0873,43.096005,-77.6328,-77.633981,"(585) 424-3200",,,,http://www.uneedatow.com,,,
2,"24 Hour Towing & Repair",,Towing,"Auto Towing Equipment","400 E 85th St","New York",NY,10028,10028-6385,USA,"New York",212,36061,,5600,EST,Y,40.7764,40.775980,-73.9527,-73.949721,"(212) 595-2831",,,,,,,
3,"24hr TOWING INC",,Towing,"Auto Towing Equipment","547 W 49th St","New York",NY,10019,10019-7142,USA,"New York",212,36061,,5600,EST,Y,40.7652,40.764769,-73.9853,-73.993575,"(718) 617-3030",,"(718) 328-0952",,http://www.springtechcorp.com/,,,
4,"89 Service Center","89 Service Center in Mount Airy, NC is a private company categorized under Automobile Inspection Stations. Current estimates show this company has an annual revenue of less than $500,000 and employs a staff of approximately 1 to 4. Companies like 89 Service Center usually offer: Auto Electrical Systems, Electrical System In A Car, Electrical System Of A Car, Vehicle Electrical Systems and Electrical Systems In Cars. ",Towing,"Auto Towing Equipment","4216 Nc 89 Hwy E","Walnut Cove",NC,27052,27052-7654,USA,Stokes,336,37169,3120,,EST,Y,36.3289,36.338136,-80.1453,-80.151532,"(336) 591-4709",,,,,,,
5,"A & A Towing & Repair","Trust A & A Towing & Repair with all your towing and auto repair needs. We are now serving the Greater Orlando areas of Florida",Towing,"Auto Towing Equipment","8112 E Colonial Dr",Orlando,FL,32817,32817-3906,USA,Orange,407,12095,5960,,EST,Y,28.5912,28.568167,-81.2456,-81.277460,"(407) 275-9808",,,,http://www.aatowingorlando.com/,,,
6,"A & A Towing-Flatbed & Lockout Service",,Towing,"Auto Towing Equipment","13024 Halldale Ave",Gardena,CA,90249,90249-2118,USA,"Los Angeles",310,06037,,4480,PST,Y,33.9005,33.914141,-118.3177,-118.302179,"(310) 516-0396",,,,,,,
7,"A & R Trailers","We understand why our customers select us for all of their towing and carrying needs. We have a proven track record of performing quality work at a competitive price. We will make sure we walk you through the process, so you feel comfortable that you made the right decision and that we provided the safest solution solution.",Towing,"Auto Towing Equipment","5580 Cheviot Rd",Cincinnati,OH,45247,45247-7094,USA,Hamilton,513,39061,,1640,EST,Y,39.2201,39.192674,-84.6531,-84.598939,"(513) 385-0722",,,,http://www.artrailer.com,,,
8,"A & Sons Towing","Since 1997, Al & Son's Towing Inc. has been a family owned and operated

towing company serving the Los Angeles, San Bernardino and Orange County

areas. ",Towing,"Auto Towing Equipment","2901 S Riverside Ave, Lot E",Colton,CA,92324,,USA,"San Bernardino",909,06071,,6780,PST,Y,34.0027,34.021524,-117.2405,-117.362614,"(951) 276-8090",,"(909) 276-2470",aandsonstowing@privaten.net,http://alnsonstowing.com/,,,
9,"A & T Towing","Our goal is to provide you with great service and high-quality workmanship at a fair price. Please browse our website to learn more about us and our commitment to the best in automotive service.",Towing,"Auto Towing Equipment","821 N 21st St","East St Louis",IL,62205,62205-2701,USA,"Saint Clair",618,17163,7040,,CST,Y,38.6057,38.621649,-90.1182,-90.129520,"(618) 274-8639",,,,http://www.procarcarezone.com/shops/a__t_towing_and_service_center.com,,,
10,"A 1 Towing",,Towing,"Auto Towing Equipment","6633 Roosevelt Dr",Ketchikan,AK,99901,99901-9732,USA,"Ketchikan Gateway",907,02130,,,PST-1,Y,55.5909,55.306546,-131.3492,-131.529570,"(907) 247-6633",,,,,,,
11,"A 2 Z Towing",,Towing,"Auto Towing Equipment","45101 Commerce St",Indio,CA,92201,92201-3439,USA,Riverside,760,06065,,6780,PST,Y,33.7269,33.722150,-116.2361,-116.203439,"(760) 342-3518",,,a2ztow@aol.com,,,,
12,"A A Dot Towing",,Towing,"Auto Towing Equipment","8130 Monroe Ave",Stanton,CA,90680,90680-2645,USA,Orange,714,06059,,5945,PST,Y,33.8022,33.805468,-117.9951,-117.989976,"(714) 527-6408",,,aadottowing@aol.com,,,,
14,"A Aamirsen Towing",,Towing,"Auto Towing Equipment","6333 Mount Ada Rd","San Diego",CA,92111,92111-3121,USA,"San Diego",858,06073,7320,,PST,Y,32.8068,32.819190,-117.1685,-117.174734,"(858) 505-9096",,,,,,,
15,"A Best Towing",,Towing,"Auto Towing Equipment","3200 Griffin Rd",Hollywood,FL,33312,,USA,Broward,954,12011,,2680,EST,Y,26.0861,26.062181,-80.1822,-80.185692,"(954) 989-9090",,,,,,,
16,"A Charlie's Towing Service Inc",,Towing,"Auto Towing Equipment","6171 Van Nuys Blvd","Van Nuys",CA,91401,91401-3307,USA,"Los Angeles",818,06037,,4480,PST,Y,34.1781,34.182075,-118.4316,-118.448896,"(818) 901-0602",,,,,,,
17,"A Plus Towing & Automotive",,Towing,"Auto Towing Equipment","495 Valenti Ct",Riverdale,GA,30274,30274-4226,USA,Clayton,770,13063,0520,,EST,Y,33.5562,33.528630,-84.3998,-84.406528,"(404) 624-4708",,,,,,,
18,"A Pro Tow",,Towing,"Auto Towing Equipment","5711 West Fligh Avenue",Tampa,FL,33602,,USA,Hillsborough,813,12057,8280,,EST,Y,27.9575,,-82.4576,,"(813) 269-7174",,"(813) 269-7174",,,,,
19,"A Reliable Towing & Recovery- Inc.",,Towing,"Auto Towing Equipment","9426 66th St N","Pinellas Park",FL,33782,33782-3001,USA,Pinellas,727,12103,8280,,EST,Y,27.8607,27.857732,-82.7135,-82.729033,"(727) 545-8697",,,general@reliabletowing.com,,,,
20,"A S C O Inc",,Towing,"Auto Towing Equipment","1684 E National Pike","Scenery Hill",PA,15360,15360-1019,USA,Washington,724,42125,6280,,EST,Y,40.0969,40.105250,-80.0956,-80.105177,"(724) 945-5525",,,,,,,
21,"A Superior Wrecker Sales",,Towing,"Auto Towing Equipment","3160 Birmingham Hwy",Montgomery,AL,36108,36108-1714,USA,Montgomery,334,01101,5240,,CST,Y,32.3488,32.370237,-86.4016,-86.374267,"(334) 269-1257",,,,,,,
