id,biz_name,loc_LAT_centroid,loc_LONG_centroid,biz_phone
1,Harding's Towing II,43.0873,-77.6328,(585) 424-3200
2,24 Hour Towing & Repair,40.7764,-73.9527,(212) 595-2831
3,24hr TOWING INC,40.7652,-73.9853,(718) 617-3030
4,89 Service Center,36.3289,-80.1453,(336) 591-4709
5,A & A Towing & Repair,28.5912,-81.2456,(407) 275-9808
6,A & A Towing-Flatbed & Lockout Service,33.9005,-118.3177,(310) 516-0396
7,A & R Trailers,39.2201,-84.6531,(513) 385-0722
8,A & Sons Towing,34.0027,-117.2405,(951) 276-8090
9,A & T Towing,38.6057,-90.1182,(618) 274-8639
10,A 1 Towing,55.5909,-131.3492,(907) 247-6633
11,A 2 Z Towing,33.7269,-116.2361,(760) 342-3518
12,A A Dot Towing,33.8022,-117.9951,(714) 527-6408
14,A Aamirsen Towing,32.8068,-117.1685,(858) 505-9096
15,A Best Towing,26.0861,-80.1822,(954) 989-9090
16,A Charlie's Towing Service Inc,34.1781,-118.4316,(818) 901-0602
17,A Plus Towing & Automotive,33.5562,-84.3998,(404) 624-4708
18,A Pro Tow,27.9575,-82.4576,(813) 269-7174
19,A Reliable Towing & Recovery- Inc.,27.8607,-82.7135,(727) 545-8697
20,A S C O Inc,40.0969,-80.0956,(724) 945-5525
21,A Superior Wrecker Sales,32.3488,-86.4016,(334) 269-1257
22,A To Z Mustangs,40.1749,-74.8541,(215) 547-4699
23,A Wrecker Service,35.7571,-86.3959,(615) 217-7990
24,A-1 Auto Service Center,29.7389,-81.6715,(386) 328-5661
25,A-1 Braden's Towing & Auto Repair,40.0729,-80.6524,(304) 243-1586
26,A-1 Rodriguez Tire & Auto Service,33.5398,-80.8866,(803) 534-4149
27,A-1 Sav-On Rentals,32.6069,-117.0565,(619) 425-2040
28,A-2-Z International 1 A-R-Hi,34.138,-118.0283,(626) 449-6672
29,A-A Now Towing,40.75,-73.9967,(646) 862-5220
31,Aa-Greg'S Towing,35.0653,-106.4737,(505) 271-1300
32,Aaa-Francis Service,44.9058,-83.4572,(989) 471-2356
